id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
29332,86364,BlazBlue (Tentative Title),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128505,54568,BlazBlue Alternative: Dark War,NULL,2021-02-16 00:00:00.000,2,1,NULL,NULL,NULL,NULL
102904,79216,BlazBlue Mobile Battle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54864,38977,BlazBlue Revolution Reburning,NULL,2017-04-20 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
86232,61502,BlazBlue: Battle Cards,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83563,58953,BlazBlue: Battle x Puzzle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73286,6441,BlazBlue: Calamity Trigger,NULL,2008-11-19 00:00:00.000,14,NULL,73.3333,6,76.7390,39
10927,42964,BlazBlue: Calamity Trigger - Limited Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132988,46018,BlazBlue: Calamity Trigger Portable,NULL,2010-02-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88060,11613,BlazBlue: Central Fiction,NULL,2015-11-19 00:00:00.000,6,3,85.6000,6,65.9395,17
11070,212326,BlazBlue: Central Fiction - Limited Box,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193279,109607,BlazBlue: Central Fiction - Special Edition,NULL,2019-02-07 00:00:00.000,5,NULL,85.0000,1,77.0000,4
187792,5643,BlazBlue: Chrono Phantasma,NULL,2012-11-21 00:00:00.000,2,NULL,80.0000,2,79.7804,6
117347,42963,BlazBlue: Chrono Phantasma - Limited Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65105,11612,BlazBlue: Chrono Phantasma Extend,NULL,2014-10-09 00:00:00.000,4,NULL,85.0000,2,89.5601,14
138881,64233,BlazBlue: Clone Phantasma,NULL,2014-08-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
163252,6750,BlazBlue: Continuum Shift,NULL,2009-11-20 00:00:00.000,9,NULL,85.0000,3,76.2118,9
82020,6920,BlazBlue: Continuum Shift Extend,NULL,2011-09-01 00:00:00.000,5,NULL,86.5000,2,69.1138,22
186635,43025,BlazBlue: Continuum Shift Extend - Limited Edition,NULL,2012-03-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
189188,11611,BlazBlue: Continuum Shift II,NULL,2010-12-09 00:00:00.000,1,NULL,NULL,NULL,74.0000,3
27114,89902,BlazBlue: Continuum Shift II - Manga Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195674,51448,BlazBlue: Cross Tag Battle,NULL,2018-05-31 00:00:00.000,9,1,76.8571,10,84.4914,19
30253,118680,BlazBlue: Cross Tag Battle - Deluxe Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60241,136605,BlazBlue: Cross Tag Battle - Special Edition,NULL,2018-06-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
151939,166319,Blazblue: Cross Tag Battle: Limited Box,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
